current_time	Ndate	Sdate	Shift	customer	tester	status	step	maxsites	runsiteqty	device	family	SE	Class
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN01	RUN	RT2       	6	6	SV72203TBG/WABAACU	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN02	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN03	RUN	RT2       	6	6	NT72335PG-VB/AAA	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN04	RUN	MT        	6	6	SV72193BG/ABACU-V	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN05	RUN	MT        	6	6	SV72191BG/AAACUC-V	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN06	SETUP	MT        	6	0	NC98691PG/AAA	nan	葉國彥	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN07	RUN	MT        	6	6	SV72203TBG/WABAACU	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN08	IDLE_L	MT        	6	0		nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN09	RUN	MT        	6	6	NT68297UMFG/CABAACU	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN10	RUN	MT3       	6	6	SV72203TBG/WABAACU	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN11	RUN	MT        	6	6	NT72690TBG-8C2K/WBBAACUFQ	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN12	RUN	MT2       	6	6	NT72327PG/AAA	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN13	RUNP	MT        	8	8	NT72335PG-VA/AAA	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN14	RUN	EQC       	8	8	NT72335PG-VA/AAA	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMN15	RUN	EQC       	8	8	NT72327PG/AAA	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT01	SETUPW_L	EQC       	6	0	MS72320CHU/4MAZAA20-L	MS7232	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT02	RUN	MT        	6	6	MT9602FAAT/ACZAHIA202020-P20-H	5870	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	XSG	QAMT03	IDLE_L	RT4       	6	0	SSC377	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT04	RUN	RT1       	6	6	MT9270DABJ/ABZBCA343434-MA2-H	5889	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT05	ENG_L	MT        	6	0	None	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT06	RUN	MT        	6	6	MS7239BH9T/G0ZAHIA-I-H	MS7239	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVO	QAMT07	SETUPW_L	EQC       	6	0	NUC977DK63YC	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT08	RUNR	RT2       	6	0	MT9010PBAT/BBZBHHA202020-H	5870	詹博閔	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MSL	QAMT09	RUN	MT        	6	6	MT9255BADN/BAZBXDA2020-L	5862	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT10	RUNR	MT        	6	0	MT9653BAKT/ABZAHIA-P-H	5879	鍾智弦	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMT100	ENG_L	RT1       	6	0	NT96671MQG/BABBACU	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT101	ENG_L	MT        	6	0	MT9026EAAT/BCZACC3434-H	5873	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MSL	QAMT102	ENG_L	RT1       	6	0		nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT103	RUN	MT        	6	6	MT9603EAAT/BAZACC3434-H	5873	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMT104	IDLE_L	MT2       	6	0	NT72335PG-VA/AAA	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT105	RUN	MT        	6	6	MT9603EAAT/ACZACC3434-H	5873	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT106	RUNP	MT        	6	5	MT9602EAAT/BAZAHHD202020-H	5870	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT107	RUN	MT2       	6	6	MT9033BAAJ/BCZBCB343434-CLG34-H	5889	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT108	RUN	EQC       	6	6	MT9270DACJ/AFZBCA343434-MA2-H	5889	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMT109	RUNR	MT2       	6	0	NT72335PG-VB/AAA	nan	蔡坤佑	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	IDLE	QAMT11	IDLE_L	EQC       	6	0	MS7249BJVI/SBZAHHA2020-H	MS7249	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT110	RUN	MT2       	6	6	MT9379ANV/OLAHHD-H	9379	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT111	ENG_L	RT1       	6	0	MT9010PBAT/BBZBHHA202020-H	5870	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT112	IDLE_L	MT        	6	0	MT9016OAAT/ABZACC3434-H	5873	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MTK	QAMT113	RUN	EQC       	6	6	MT9270DABJ/ABZBCA343434-MA2-H	5889	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	MSL	QAMT114	RUN	MT        	6	6	MT9255BCAN/AAZBXDA2020-L	5862	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	XST	QAMT115	RUN	MT        	6	6	SAC8539	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	XSG	QAMT116	IDLE_L	EQC       	6	0	None	nan	None	B
2024/8/15 08:50	2024/8/15	2024/8/15	day	NVT	QAMT117	RUN	RT4       	6	6	SV72201PG/BAB-V	nan	None	B
